Velocità;DistanzaLineaCentrale;SensoreSXSX;SensoreSX;SensoreCentrale;SensoreDX;SensoreDXDX;AngoloTraccia
107.246;0.329967;11.8487;32.402;200.0;64.1496;23.5026;3.4617E-4;1
107.705;0.330043;11.8467;32.3912;200.0;64.1673;23.5053;2.87621E-4;1
108.165;0.330123;11.8446;32.3804;200.0;64.1849;23.5081;2.30174E-4;1
108.626;0.330206;11.8425;32.3695;200.0;64.2025;23.5109;1.73028E-4;1
109.088;0.330292;11.8402;32.3582;200.0;64.2208;23.5138;1.14207E-4;1
109.55;0.330381;11.8379;32.3467;200.0;64.2394;23.5168;5.45179E-5;1
110.013;0.330474;11.8356;32.3351;200.0;64.2579;23.5198;-4.07269E-6;1
110.097;0.330569;11.8332;32.323;200.0;64.2775;23.5229;-6.64775E-5;1
110.058;0.330666;11.8307;32.31;200.0;64.2988;23.5263;-1.35517E-4;1
110.019;0.330766;11.8282;32.2985;200.0;64.3168;23.5293;-1.90741E-4;1
109.98;0.330868;11.826;32.289;200.0;64.331;23.532;-2.29367E-4;1
109.941;0.330972;11.8238;32.2808;200.0;64.3423;23.5345;-2.55093E-4;1
109.902;0.331078;11.8217;32.2736;200.0;64.3517;23.5368;-2.73006E-4;1
109.863;0.331186;11.8197;32.2666;200.0;64.3604;23.539;-2.87536E-4;1
110.106;0.331296;11.8176;32.2603;200.0;64.3677;23.5412;-2.95748E-4;1
110.412;0.331408;11.8155;32.2533;200.0;64.3764;23.5435;-3.09263E-4;1
110.719;0.331521;11.8132;32.2447;200.0;64.3882;23.5461;-3.3558E-4;1
111.025;0.331636;11.8107;32.234;200.0;64.4039;23.5491;-3.77968E-4;1
111.331;0.331753;11.8079;32.2214;200.0;64.4236;23.5526;-4.35907E-4;1
111.637;0.331873;11.805;32.2075;200.0;64.4458;23.5563;-5.0424E-4;1
111.943;0.331995;11.802;32.1929;200.0;64.4692;23.5602;-5.76582E-4;1
112.25;0.332121;11.7989;32.178;200.0;64.493;23.5641;-6.49954E-4;1
112.557;0.332251;11.7957;32.163;200.0;64.517;23.5681;-7.2354E-4;1
112.865;0.332384;11.7925;32.148;200.0;64.5407;23.5722;-7.95078E-4;1
113.173;0.332521;11.7893;32.1334;200.0;64.5636;23.5762;-8.62264E-4;1
113.482;0.332662;11.7861;32.1189;200.0;64.5859;23.5802;-9.26173E-4;1
113.791;0.332807;11.7828;32.1044;200.0;64.6082;23.5843;-9.89295E-4;1
114.1;0.332956;11.7794;32.0898;200.0;64.6306;23.5884;-0.00105171;1
114.41;0.333109;11.776;32.0752;200.0;64.6526;23.5925;-0.00111236;1
114.721;0.333265;11.7725;32.0606;200.0;64.6748;23.5967;-0.00117244;1
115.031;0.333426;11.769;32.0455;200.0;64.6975;23.601;-0.00123399;1
